index,palette_color,hex,source_file,output_file
165,"(40, 41, 30)",#28291E,E037.png,palette_tile_0165.png
166,"(106, 113, 45)",#6A712D,E038.png,palette_tile_0166.png
167,"(142, 162, 91)",#8EA25B,E039.png,palette_tile_0167.png
168,"(131, 179, 57)",#83B339,E040.png,palette_tile_0168.png
169,"(98, 118, 76)",#62764C,E041.png,palette_tile_0169.png
170,"(94, 119, 74)",#5E774A,E042.png,palette_tile_0170.png
171,"(72, 90, 61)",#485A3D,E043.png,palette_tile_0171.png
172,"(66, 89, 56)",#425938,E044.png,palette_tile_0172.png
173,"(67, 150, 99)",#439663,E045.png,palette_tile_0173.png
174,"(69, 124, 97)",#457C61,E046.png,palette_tile_0174.png
175,"(64, 227, 148)",#40E394,E047.png,palette_tile_0175.png
176,"(84, 154, 122)",#549A7A,E048.png,palette_tile_0176.png
177,"(66, 139, 112)",#428B70,E049.png,palette_tile_0177.png
178,"(108, 164, 144)",#6CA490,E050.png,palette_tile_0178.png
179,"(37, 119, 96)",#257760,E051.png,palette_tile_0179.png
180,"(86, 149, 133)",#569585,E052.png,palette_tile_0180.png
181,"(74, 138, 123)",#4A8A7B,E053.png,palette_tile_0181.png
182,"(134, 162, 156)",#86A29C,E054.png,palette_tile_0182.png
183,"(92, 154, 141)",#5C9A8D,E055.png,palette_tile_0183.png
184,"(53, 137, 120)",#358978,E056.png,palette_tile_0184.png
185,"(110, 142, 137)",#6E8E89,E057.png,palette_tile_0185.png
186,"(69, 128, 119)",#458077,E058.png,palette_tile_0186.png
187,"(75, 137, 128)",#4B8980,E059.png,palette_tile_0187.png
188,"(63, 132, 122)",#3F847A,E060.png,palette_tile_0188.png
189,"(118, 216, 204)",#76D8CC,E061.png,palette_tile_0189.png
190,"(91, 156, 151)",#5B9C97,E062.png,palette_tile_0190.png
191,"(61, 138, 134)",#3D8A86,E063.png,palette_tile_0191.png
192,"(48, 130, 127)",#30827F,E064.png,palette_tile_0192.png
193,"(80, 130, 129)",#508281,E065.png,palette_tile_0193.png
194,"(67, 119, 118)",#437776,E066.png,palette_tile_0194.png
195,"(68, 140, 140)",#448C8C,E067.png,palette_tile_0195.png
196,"(11, 75, 77)",#0B4B4D,E068.png,palette_tile_0196.png
197,"(57, 150, 159)",#39969F,E069.png,palette_tile_0197.png
198,"(58, 99, 103)",#3A6367,E070.png,palette_tile_0198.png
199,"(42, 138, 153)",#2A8A99,E071.png,palette_tile_0199.png
200,"(61, 120, 132)",#3D7884,E072.png,palette_tile_0200.png
201,"(49, 118, 142)",#31768E,E073.png,palette_tile_0201.png
202,"(49, 124, 169)",#317CA9,E074.png,palette_tile_0202.png
203,"(67, 166, 230)",#43A6E6,E075.png,palette_tile_0203.png
204,"(57, 78, 99)",#394E63,E076.png,palette_tile_0204.png
205,"(67, 77, 88)",#434D58,E077.png,palette_tile_0205.png
206,"(91, 112, 136)",#5B7088,E078.png,palette_tile_0206.png
207,"(77, 121, 202)",#4D79CA,E079.png,palette_tile_0207.png
208,"(38, 39, 66)",#262742,E080.png,palette_tile_0208.png
209,"(40, 41, 102)",#282966,E081.png,palette_tile_0209.png
210,"(51, 51, 53)",#333335,E082.png,palette_tile_0210.png
211,"(118, 115, 201)",#7673C9,E083.png,palette_tile_0211.png
212,"(82, 27, 202)",#521BCA,E084.png,palette_tile_0212.png
213,"(122, 52, 150)",#7A3496,E085.png,palette_tile_0213.png
214,"(217, 25, 201)",#D919C9,E086.png,palette_tile_0214.png
215,"(222, 129, 195)",#DE81C3,E087.png,palette_tile_0215.png
216,"(103, 67, 90)",#67435A,E088.png,palette_tile_0216.png
217,"(208, 63, 137)",#D03F89,E089.png,palette_tile_0217.png
218,"(220, 46, 118)",#DC2E76,E090.png,palette_tile_0218.png
219,"(95, 34, 53)",#5F2235,E091.png,palette_tile_0219.png
220,"(246, 159, 186)",#F69FBA,E092.png,palette_tile_0220.png
221,"(123, 34, 58)",#7B223A,E093.png,palette_tile_0221.png
222,"(149, 78, 82)",#954E52,E094.png,palette_tile_0222.png
223,"(217, 71, 60)",#D9473C,E095.png,palette_tile_0223.png
224,"(200, 110, 85)",#C86E55,E096.png,palette_tile_0224.png
225,"(225, 87, 46)",#E1572E,E097.png,palette_tile_0225.png
226,"(140, 83, 65)",#8C5341,E098.png,palette_tile_0226.png
227,"(204, 117, 80)",#CC7550,E099.png,palette_tile_0227.png
228,"(222, 93, 36)",#DE5D24,E100.png,palette_tile_0228.png
229,"(192, 99, 52)",#C06334,E101.png,palette_tile_0229.png
230,"(48, 41, 37)",#302925,E102.png,palette_tile_0230.png
231,"(193, 158, 138)",#C19E8A,E103.png,palette_tile_0231.png
232,"(249, 147, 86)",#F99356,E104.png,palette_tile_0232.png
233,"(243, 140, 76)",#F38C4C,E105.png,palette_tile_0233.png
234,"(56, 46, 39)",#382E27,E106.png,palette_tile_0234.png
235,"(184, 103, 46)",#B8672E,E107.png,palette_tile_0235.png
236,"(243, 145, 74)",#F3914A,E108.png,palette_tile_0236.png
237,"(204, 156, 121)",#CC9C79,E109.png,palette_tile_0237.png
238,"(226, 139, 55)",#E28B37,E110.png,palette_tile_0238.png
239,"(154, 105, 56)",#9A6938,E111.png,palette_tile_0239.png
240,"(189, 122, 54)",#BD7A36,E112.png,palette_tile_0240.png
241,"(222, 137, 48)",#DE8930,E113.png,palette_tile_0241.png
242,"(186, 131, 72)",#BA8348,E114.png,palette_tile_0242.png
243,"(218, 137, 46)",#DA892E,E115.png,palette_tile_0243.png
244,"(224, 145, 48)",#E09130,E116.png,palette_tile_0244.png
245,"(226, 184, 132)",#E2B884,E117.png,palette_tile_0245.png
246,"(225, 165, 89)",#E1A559,E118.png,palette_tile_0246.png
247,"(75, 65, 52)",#4B4134,E119.png,palette_tile_0247.png
248,"(238, 207, 164)",#EECFA4,E120.png,palette_tile_0248.png
249,"(231, 201, 159)",#E7C99F,E121.png,palette_tile_0249.png
250,"(62, 55, 45)",#3E372D,E122.png,palette_tile_0250.png
251,"(221, 168, 89)",#DDA859,E123.png,palette_tile_0251.png
252,"(249, 198, 116)",#F9C674,E124.png,palette_tile_0252.png
253,"(243, 220, 183)",#F3DCB7,E125.png,palette_tile_0253.png
254,"(236, 206, 157)",#ECCE9D,E126.png,palette_tile_0254.png
255,"(240, 212, 164)",#F0D4A4,E127.png,palette_tile_0255.png
256,"(234, 216, 185)",#EAD8B9,E128.png,palette_tile_0256.png
